Values below show absolute/relative times spend per server step by the instrumented function.
A total of 451523 samples were taken


 instrumentation                                         |    min µs |    max µs |    avg µs | min % | max % | avg %
-------------------------------------------------------- | --------- | --------- | --------- | ----- | ----- | ------
 flowers:                                                |         0 |     31233 |         2 |   0.0 |  34.3 |   0.0
  - ABM 'Mushroom spread' .............................  |        27 |       269 |        64 |   0.0 |   0.7 |   0.1
  - ABM 'Flower spread' ...............................  |        11 |     31233 |       343 |   0.0 |  34.3 |   0.4
 bones:                                                  |         0 |     23354 |         0 |   0.0 |  19.9 |   0.0
  - on_dieplayer[1] ...................................  |       182 |     23354 |      2340 |   0.1 |  19.9 |   4.3
 mobs_fish:                                              |         0 |     94402 |        41 |   0.0 |  68.1 |   0.1
  - on_step[2] ........................................  |         1 |     49384 |        48 |   0.0 |  56.7 |   0.1
  - get_staticdata[1] .................................  |         5 |     34088 |       299 |   0.0 |  33.3 |   0.3
  - on_activate[2] ....................................  |        21 |      1753 |       118 |   0.0 |   0.8 |   0.1
  - on_punch[2] .......................................  |       137 |      1084 |       481 |   0.2 |   2.1 |   0.9
  - ABM 'mobs_fish:tropical spawning' .................  |         5 |     12477 |       568 |   0.0 |  14.6 |   0.6
  - on_activate[1] ....................................  |        26 |     46475 |       251 |   0.0 |  33.5 |   0.2
  - on_step[1] ........................................  |         1 |     74449 |        44 |   0.0 |  67.8 |   0.1
  - ABM 'mobs_fish:clownfish spawning' ................  |         5 |     47505 |       660 |   0.0 |  34.3 |   0.7
  - get_staticdata[2] .................................  |         5 |      5973 |       180 |   0.0 |   8.3 |   0.2
 spacesuit:                                              |         0 |     71473 |       183 |   0.0 |  63.3 |   0.3
  - globalstep[1] .....................................  |         1 |     71473 |       183 |   0.0 |  63.3 |   0.3
  - on_leaveplayer[1] .................................  |         2 |         9 |         2 |   0.0 |   0.0 |   0.0
 planetoidgen:                                           |         0 |     30696 |         0 |   0.0 |   9.8 |   0.0
  - on_generated[1] ...................................  |        21 |     30696 |       455 |   0.0 |   9.8 |   0.2
 advtrains_train_steam:                                  |        20 |    137542 |      2081 |   0.0 |  75.3 |   4.3
  - on_step[2] ........................................  |         7 |     86168 |       308 |   0.0 |  68.0 |   0.6
  - on_step[4] ........................................  |        10 |     86833 |       405 |   0.0 |  60.3 |   0.9
  - on_activate[3] ....................................  |         5 |         8 |         6 |   0.0 |   0.0 |   0.0
  - on_step[1] ........................................  |        26 |     75551 |       275 |   0.0 |  64.8 |   0.6
  - on_activate[1] ....................................  |         7 |         7 |         7 |   0.0 |   0.0 |   0.0
  - on_activate[4] ....................................  |         3 |         7 |         5 |   0.0 |   0.0 |   0.0
  - on_step[3] ........................................  |        20 |    101124 |      1496 |   0.0 |  74.3 |   3.1
  - on_activate[2] ....................................  |         6 |         7 |         6 |   0.0 |   0.0 |   0.0
 redwood:                                                |         0 |      8824 |         0 |   0.0 |  17.4 |   0.0
  - ABM 'redwood grow sapling' ........................  |      8824 |      8824 |      8824 |  17.4 |  17.4 |  17.4
 wieldview:                                              |         0 |     68145 |        23 |   0.0 |  42.9 |   0.0
  - globalstep[1] .....................................  |         1 |     68145 |        23 |   0.0 |  42.9 |   0.0
  - on_joinplayer[1] ..................................  |         8 |       487 |        23 |   0.0 |   0.3 |   0.0
 bike:                                                   |         0 |     22374 |         2 |   0.0 |  49.1 |   0.0
  - on_leaveplayer[1] .................................  |         2 |       250 |         4 |   0.0 |   0.5 |   0.0
  - on_dieplayer[1] ...................................  |         2 |        46 |         4 |   0.0 |   0.0 |   0.0
  - on_punch[1] .......................................  |        18 |       965 |       334 |   0.1 |   3.3 |   1.1
  - on_joinplayer[1] ..................................  |        12 |       339 |        23 |   0.0 |   0.4 |   0.0
  - on_activate[1] ....................................  |        26 |        50 |        40 |   0.0 |   0.2 |   0.1
  - on_step[1] ........................................  |        12 |     22374 |       131 |   0.0 |  49.1 |   0.3
  - on_player_receive_fields[1] .......................  |         1 |     15120 |        12 |   0.0 |  33.8 |   0.0
  - get_staticdata[1] .................................  |        10 |       260 |        57 |   0.0 |   0.2 |   0.1
 binoculars:                                             |         0 |     27157 |         0 |   0.0 |  13.6 |   0.0
  - on_joinplayer[1] ..................................  |       193 |     27157 |       448 |   0.1 |  13.6 |   0.3
